Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
38324273,Hotel Silence,Auður Ava Ólafsdóttir,"Ólafsdóttir, Auður Ava",Brian FitzGibbon,"=""""","=""""",0,3.83,Pushkin Press,Kindle Edition,149,2018,2016,,2020/07/14,to-read,to-read (#657),to-read,,,,0,,,0,,,,,
1193601,The Nature of Blood,Caryl Phillips,"Phillips, Caryl",,"=""0679454705""","=""9780679454700""",0,3.72,Knopf,Hardcover,212,1997,1997,,2020/07/05,to-read,to-read (#650),to-read,,,,0,,,0,,,,,
36352480,Natives: Race and Class in the Ruins of Empire,Akala,"Akala, Akala",,"=""""","=""9781473661219""",0,4.57,Two Roads ,Hardcover,352,2018,2018,,2020/07/05,to-read,to-read (#647),to-read,,,,0,,,0,,,,,
50752284,Famished,Anna Vaught,"Vaught, Anna",,"=""1910312495""","=""9781910312490""",0,3.68,Influx Press,Paperback,103,2020,2020,,2020/07/05,to-read,to-read (#645),to-read,,,,0,,,0,,,,,
50197718,Zonal,Don Paterson,"Paterson, Don",,"=""0571338267""","=""9780571338269""",0,3.98,Faber  Faber,ebook,,2020,,,2020/07/05,to-read,to-read (#640),to-read,,,,0,,,0,,,,,
41081318,If All the World and Love Were Young,Stephen Sexton,"Sexton, Stephen",,"=""0141990023""","=""9780141990026""",0,3.97,Penguin,Paperback,115,2019,2019,,2020/06/30,to-read,to-read (#629),to-read,,,,0,,,0,,,,,
52376483,Exquisite Cadavers,Meena Kandasamy,"Kandasamy, Meena",,"=""1786499657""","=""9781786499653""",0,3.86,Atlantic Books,Hardcover,112,2020,2019,,2020/06/30,to-read,to-read (#625),to-read,,,,0,,,0,,,,,
42185758,Flèche,Mary Jean Chan,"Chan, Mary Jean",,"=""0571348041""","=""9780571348046""",0,4.25,Faber  Faber,Paperback,78,2019,2019,,2020/06/30,to-read,to-read (#624),to-read,,,,0,,,0,,,,,
37506228,Weather,Jenny Offill,"Offill, Jenny",,"=""0385351100""","=""9780385351102""",0,3.59,Knopf Publishing Group,Hardcover,208,2020,2020,2020/06/14,2020/03/22,,,read,"I applaud the author for delving into climate change in this book and I recognize this novel's literary merit (as the prose was superb), but I must say that I found it quite forgettable. <br/><br/>I found that it was a chore to get through - for context, this 200 or so page novel took me over 8 hours to complete in total. If anything this novel is a wake up call for me, as it reaffirms that vignette-styled novels simply cannot hold my attention. <br/><br/>I just honestly don't think it is worth the read, as more digestible literature exists in the market that discuss similar topics.",,,1,,,0,,,,,
36700347,Good Talk: A Memoir in Conversations,Mira Jacob,"Jacob, Mira",,"=""039958904X""","=""9780399589041""",0,4.49,One World,Hardcover,349,2019,2019,2020/06/11,2020/05/31,,,read,"I now know the difference between bigotry and racism, and this graphic novella described it in a very digestible manner. A must read and a quick one at that.",,,1,,,0,,,,,
45895362,How Much of These Hills Is Gold,C Pam Zhang,"Zhang, C Pam",,"=""0525537201""","=""9780525537205""",0,3.81,Riverhead Books,Hardcover,288,2020,2020,,2020/05/20,dnf,dnf (#14),dnf,,,,0,,,0,,,,,
43459783,Homecoming: Voices of the Windrush Generation,Colin Grant,"Grant, Colin",,"=""1787331059""","=""9781787331051""",0,4.33,Jonathan Cape,Hardcover,320,2019,,,2020/06/27,to-read,to-read (#616),to-read,,,,0,,,0,,,,,
9227004,An Image of Africa,Chinua Achebe,"Achebe, Chinua",,"=""0141192585""","=""9780141192581""",0,3.95,Penguin Books,Paperback,112,2010,1975,,2020/06/22,to-read,to-read (#601),to-read,,,,0,,,0,,,,,
